------------------------------------------
Baseline:
Word Error Rate = 10.717687074829932
Known Word WER = 8.442957640976276
Unknown Word WER = 84.46316007026972
	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	NNS	PDT	IN	LS	VBN	RP	VBG	NNP	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	NNPS	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
PRP	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.04	-	0.01	0.00	-	-	-	-	-	-	-	-	-	0.11	-	-	-
LS	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-
NNPS	0.06	0.00	-	0.00	-	-	-	-	-	0.00	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.02	-	-
UH	-	0.00	0.00	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.00	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
