------------------------------------------
Baseline:
Word Error Rate = 9.99253828934514
Known Word WER = 8.294651708023224
Unknown Word WER = 84.64199239017641
	NNS	JJ	RB	NN	VB	UH	VBD	POS	VBZ	PDT	IN	VBP	NNPS	VBN	RBR	LS	WDT	NNP	RP	VBG	CD	EX	CC	RBS	JJR	JJS	FW	MD	PRP	DT	WP	PRP$	SYM
JJ	-	0.10	0.06	0.06	3.26	3.01	1.59	0.10	0.31	-	-	0.02	0.11	1.38	0.48	0.00	0.11	0.08	0.02	0.64	-	-	0.03	-	0.00	0.01	0.03	-	0.00	-	-	-	-	-
DT	0.03	-	-	-	0.00	0.07	-	0.61	-	-	-	-	0.26	0.42	-	-	-	-	-	-	-	0.65	-	-	0.06	0.00	0.01	-	-	-	-	-	-	-
IN	0.23	-	0.02	-	0.12	0.01	-	-	0.01	-	-	0.61	-	2.67	0.00	-	-	2.11	-	-	-	0.21	-	-	0.05	-	0.08	-	-	-	-	-	-	-
CC	-	-	-	-	-	0.00	-	0.04	-	-	-	0.06	0.04	0.10	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	0.02	0.00	-	-	-	-	-	-	-	0.22	-	-	-	-	1.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.10	0.00	-	-	0.05	0.00	0.00	-	0.00	-	-	-	-	0.01	-	-	-	-	-	0.00	-	-	0.69	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	0.00	-	0.03	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	0.08	-	-	-	-
UH	0.00	-	-	-	0.07	0.00	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-
NNPS	0.10	0.44	-	-	1.33	0.14	0.02	-	-	-	-	-	-	0.00	-	-	-	-	-	0.02	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	0.00	-	0.08	0.00	-	-	-	-	-	-	-	0.00	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.05	-	-	0.01	0.13	-	0.00	0.03	-	-	-	0.00	-	-	-	-	0.00	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.02	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.588952052739679
Known Word WER = 3.6799993706040626
Unknown Word WER = 44.55205811138014
	JJ	NNS	VBP	UH	NNP	NN	VBN	IN	VB	NNPS	RBS	DT	PDT	RB	VBG	VBZ	VBD	RP	JJR	CD	POS	WDT	RBR	''	CC	PRP	FW	WP	JJS	PRP$	MD	EX	LS	SYM
NN	6.73	0.77	0.18	0.04	6.04	-	0.15	0.01	0.55	-	-	0.00	0.00	0.14	1.39	0.03	0.09	-	-	0.41	-	-	-	-	0.00	0.00	0.05	-	-	-	0.02	-	-	0.00
VBZ	0.14	1.10	0.05	-	0.22	0.15	0.02	-	0.05	0.00	-	-	-	-	0.05	-	0.19	-	-	0.02	0.23	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VBN	2.93	-	0.00	0.01	0.46	0.44	-	-	0.11	-	-	-	-	0.01	0.09	-	3.56	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-
