------------------------------------------
Baseline:
Word Error Rate = 10.126858055811429
Known Word WER = 8.438872992792032
Unknown Word WER = 84.5424780286059
	WDT	JJ	RBS	NN	VB	VBP	JJR	UH	RB	POS	NNP	PDT	RBR	NNPS	LS	VBN	CD	IN	RP	EX	VBD	VBZ	VBG	DT	NNS	PRP$	FW	CC	JJS	SYM	MD	PRP	WP	NPS
VBZ	-	-	0.05	0.14	0.07	-	0.20	-	0.21	0.02	0.01	-	0.01	-	-	-	-	1.34	0.08	-	-	0.00	-	-	-	-	-	0.23	-	-	-	-	-	-	-
VBN	-	0.00	0.05	0.34	3.01	-	0.25	-	3.13	0.08	0.01	-	-	-	-	-	-	0.01	0.10	0.01	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-
VB	0.00	0.03	-	0.88	0.22	0.04	0.30	-	0.11	0.12	1.83	0.00	0.18	-	0.00	-	-	-	0.08	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.02
RB	2.95	-	0.06	0.60	1.65	0.07	0.33	-	0.01	0.02	0.00	1.67	0.21	-	0.00	0.15	0.04	-	0.02	-	0.47	0.00	-	0.10	-	-	0.05	-	-	-	-	0.05	-	-	0.04
RP	0.72	0.30	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.11	1.50	0.21	3.40	-	0.00	3.17	-	0.06	0.55	0.08	0.05	1.82	0.00	-	0.02	0.19	0.08	0.45	-	0.02	0.15	0.00	-	-	-	0.00	-	-	-	0.00	0.00	-	-	0.02
NN	0.03	0.14	0.59	-	6.99	0.00	5.85	-	0.05	0.37	0.25	0.00	0.11	0.05	0.00	0.01	-	0.75	1.38	0.01	-	0.15	-	-	-	0.01	0.00	-	-	0.03	0.01	0.00	-	-	0.00
NNP	0.05	0.12	0.11	1.68	2.53	0.00	-	2.34	0.04	0.32	0.01	-	0.05	0.00	0.02	0.07	-	0.36	0.05	0.06	-	0.36	0.00	-	-	-	-	0.02	-	0.01	0.02	-	-	-	-
VBG	-	-	0.16	1.96	1.37	-	0.44	-	0.05	0.05	0.01	-	0.18	-	-	-	-	-	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	-	2.28	0.78	0.04	-	0.14	0.00	0.16	0.00	-	-	0.07	-	-	0.00	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
