------------------------------------------
Baseline:
Word Error Rate = 10.485420385955964
Known Word WER = 8.270156974669996
Unknown Word WER = 83.3342062536008
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$
RB|RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 10.290355737945639
Known Word WER = 8.270156974669996
Unknown Word WER = 76.7244539883727
	NNP	NNS	JJ	RB	VBN	VB	UH	WDT	RBS	NN	VBP	VBG	JJR	POS	PDT	RBR	NNPS	IN	VBD	VBZ	LS	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$
NN	1.42	0.29	3.40	0.25	0.24	7.58	0.11	-	0.00	-	1.50	4.94	0.01	-	0.13	0.00	0.03	0.03	0.02	0.01	0.00	0.04	0.12	-	0.00	0.01	0.01	0.09	0.01	-	0.00	0.03	-	0.00	-	-
VBZ	0.01	0.86	-	-	-	-	-	-	-	0.41	-	-	-	1.23	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.01	0.00	0.14	-	-	0.35	-	-	-	0.69	0.00	-	-	-	-	0.00	-	-	2.65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.72	0.04	-	1.53	1.60	0.48	0.01	-	0.02	5.11	0.03	0.84	0.02	-	0.88	0.14	0.43	0.05	0.21	-	0.00	0.07	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	-	0.00	-	0.00	-	-
NNP	-	0.14	1.26	0.09	0.15	0.05	0.01	-	0.02	6.75	0.03	0.12	0.00	0.00	-	0.00	2.31	0.03	0.00	0.00	0.07	0.00	0.03	-	0.01	0.01	0.00	0.27	0.08	0.00	-	0.00	-	-	-	0.00
CD	3.62	0.06	0.02	-	0.00	-	-	-	-	0.05	-	-	-	-	0.00	-	-	-	-	-	1.61	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-
RB	0.03	0.00	0.65	-	0.00	0.08	0.59	0.02	0.00	0.15	0.00	0.00	0.02	-	0.10	0.41	-	1.05	-	-	-	1.96	-	0.14	0.00	-	0.08	-	0.01	-	-	-	-	-	-	-
IN	0.01	-	0.17	1.92	0.00	0.00	-	4.94	0.00	0.01	0.00	0.00	-	-	-	-	0.00	-	-	-	-	3.32	-	-	-	-	0.02	0.14	0.03	-	-	-	-	0.00	-	-
DT	0.00	-	0.01	-	-	-	0.70	1.17	-	0.00	-	-	-	-	1.27	-	-	-	-	-	-	-	-	-	-	0.00	0.07	0.00	-	-	-	-	-	-	-	-
JJS	0.00	-	0.00	-	-	-	-	-	0.49	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	-	0.05	0.00	0.04	2.39	-	-	-	0.46	-	-	0.00	-	-	-	-	0.01	0.00	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.03	0.00	0.17	0.00	0.18	-	0.00	-	0.00	1.74	3.79	0.00	0.02	-	-	0.00	-	0.07	0.00	-	-	0.02	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-
NNS	0.15	-	0.02	-	0.01	-	-	-	-	2.35	-	0.00	-	0.00	-	-	1.16	-	0.00	1.31	-	-	0.04	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-
VBG	0.02	-	0.06	-	0.00	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	0.00	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.02	-	0.02	-	6.03	0.18	-	-	-	0.45	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
JJR	0.00	-	0.00	0.00	-	-	-	-	-	0.07	-	0.00	-	-	-	1.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	-	-	-	0.01	-	-	0.18	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	-	0.00	-	-	0.05	-	-	-	-	-	-	0.10	-	-	-	-	-	-
CC	0.00	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	0.02	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
SYM	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-
FW	0.00	0.00	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-
LS	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-
UH	-	-	-	0.00	-	0.00	-	-	-	0.03	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	-	-	-	-	-	-	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.02	-	-	-
NNPS	0.07	0.07	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-
WP	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
