Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
PRP	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.01	0	0	0	0	0	0.00	0	0	0.11	0.0	0	0	0	0.04	0	0	0	0	0	0	0	0	0
JJR	0	0	0	0	0	0	0.0	0.04	0	0.0	0	1.52	0	0	0	0	0	0	0	0.00	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC	0	0	0	0	0	0	0.05	0	0	0	0.03	0.01	0	0	0	0.00	0.00	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.10	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0	0	0	0	0	0.00	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0
UH	0.00	0	0.0	0.0	0	0	0.00	0.03	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG	0	0	0	0	0	0	0	0.20	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD	0.0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0
VBN|JJ	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW	0	0	0	0.00	0	0	0	0.05	0	0	0	0	0	0	0.00	0.0	0.00	0	0.0	0.00	0.00	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
