------------------------------------------
Baseline:
Word Error Rate = 10.093138038448194
Known Word WER = 8.42085117580919
Unknown Word WER = 83.74012291483758
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	RP	VB	EX	VBG	WDT	VBD	CC	VBN	UH	VBZ	PRP$	LS	IN	NNS	RBS	JJS	MD	CD	JJR	DT	FW	PRP	$	WP	SYM	TO
VBG|JJ	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-
NN|NNS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	0.00	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.633510200739958
Known Word WER = 3.684122389416521
Unknown Word WER = 46.44424934152765
	RB	NNP	NNPS	NNS	RP	VBD	IN	VBN	VBG	DT	JJR	VB	JJ	CD	VBP	PRP$	NN	PDT	JJS	VBZ	FW	RBR	WDT	POS	PRP	UH	CC	RBS	EX	LS	WP	MD	SYM	TO
JJ	1.51	3.41	-	0.10	0.03	0.13	0.15	1.95	0.51	-	0.01	0.31	-	0.68	0.12	0.00	3.12	0.16	0.00	0.01	0.12	0.02	-	-	0.00	-	0.00	-	-	-	-	-	-	-
NN	0.20	6.26	-	0.70	0.03	0.13	0.01	0.18	1.43	0.00	0.02	0.44	6.83	0.28	0.23	-	-	0.01	-	0.03	0.14	-	-	-	0.07	0.01	0.00	-	-	-	-	-	0.00	-
NNP	0.11	-	2.12	0.34	-	0.03	0.04	0.05	0.05	0.09	-	0.06	2.90	0.29	0.01	0.01	1.93	-	0.01	0.02	0.31	-	-	-	0.00	0.01	-	-	-	0.02	-	0.00	-	-
VBZ	-	0.34	0.00	1.11	-	0.31	-	0.01	0.04	-	-	0.05	0.15	0.05	0.05	-	0.15	-	-	-	0.00	-	-	0.20	-	-	-	-	-	-	-	-	-	-
IN	2.64	0.07	-	-	2.08	-	-	-	0.03	0.47	-	0.00	0.21	-	0.02	-	0.02	-	-	0.00	0.03	-	0.23	-	-	-	0.06	-	-	-	-	-	-	0.00
VBN	0.00	0.31	-	0.01	-	2.98	-	-	0.12	-	-	0.07	2.95	0.10	0.00	-	0.33	-	-	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.38	0.04	-	-	-	-	0.67	-	-	-	-	-	0.05	-	-	-	0.10	0.33	-	-	-	-	0.47	-	-	-	0.10	-	-	-	-	-	-	-
VBD	-	0.30	-	0.00	-	-	-	3.83	0.02	-	-	0.15	0.18	0.01	0.12	-	0.21	-	-	0.02	0.01	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-
CD	0.00	0.79	-	0.33	-	-	-	0.08	0.04	-	-	0.10	1.63	-	0.00	-	0.54	-	-	-	-	-	-	-	0.03	-	-	-	-	0.00	-	-	-	-
RB	-	0.45	-	0.03	1.83	0.02	3.24	0.13	0.00	0.21	0.04	0.10	1.56	0.02	0.01	-	0.56	0.02	0.02	0.00	-	0.44	-	-	-	0.03	0.05	-	0.06	-	-	-	-	-
VBG	-	0.43	-	0.01	-	0.03	-	0.14	-	-	-	0.05	1.46	0.08	0.04	-	2.09	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	0.45	0.00	-	-	-	-	0.64	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	0.16	-	-	-	0.15	0.00	0.11	0.02	-	-	2.20	0.13	0.01	-	-	0.84	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
VB	0.05	0.36	-	-	-	0.11	0.03	0.13	0.04	-	0.03	-	0.19	0.16	1.74	-	0.81	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	0.04	-	0.00	-	-	-	-	-	-	-	-	-	0.03	-	0.04	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.10	-	-	-	-	-	0.02	-	-	0.10	0.00	-	-	0.00	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.05	2.16	0.64	-	-	0.02	-	0.11	0.01	-	-	0.05	0.74	0.14	0.01	-	2.50	-	-	0.73	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.20	0.01	-	-	-	-	-	0.00	-	-	0.84	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
WDT	-	0.00	-	-	-	-	0.31	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-
MD	-	0.05	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.01	0.01	-	-	-	-	-	0.00	-	-	-	-	0.10	-	-	-	0.05	-	-	-	-	0.00	-	-	-	-	-	0.25	-	-	-	-	-	-
JJR	0.02	0.02	-	0.00	-	-	-	0.02	-	-	-	-	0.10	-	-	-	-	-	-	-	-	0.65	-	-	-	-	0.00	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
NNPS	-	1.25	-	0.47	-	0.00	-	0.00	-	-	-	0.00	0.11	0.00	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	0.09	-	0.00	-	-	0.00	0.00	-	-	-	-	0.03	-	0.00	-	0.02	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.04	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
PRP$	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
