------------------------------------------
Baseline:
Word Error Rate = 10.666612455275603
Known Word WER = 8.452390544177128
Unknown Word WER = 83.36154904242937
	NN	WDT	JJ	RBS	VBD	VB	VBP	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	VBG	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
VBP|VB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 5.017264243000475
Known Word WER = 3.7836182864141032
Unknown Word WER = 45.518992699185276
	NNP	IN	RB	VB	NN	JJ	JJR	VBD	NNS	VBN	NPS	RP	RBS	VBP	NNPS	RBR	PRP	DT	VBG	CD	UH	PDT	VBZ	JJS	FW	WDT	EX	LS	POS	SYM	PRP$	''	CC	WP	MD	,	TO
VBG	0.56	-	-	0.09	1.88	1.51	-	0.04	0.01	0.22	0.00	-	-	0.06	-	-	-	-	-	0.11	0.01	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.01	0.60	0.35	-	0.08	0.03	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.27	-	-	0.00	0.53	-	0.00	-	-	-	-	0.05	-	-	-	-
