------------------------------------------
Baseline:
Word Error Rate = 10.178863879632818
Known Word WER = 8.496456424857637
Unknown Word WER = 83.95250212044105
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	RB	NNPS	UH	RBR	VBD	VBN	VBP	CC	VBG	VBZ	NNP	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
PRP	0.00	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.11	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.15	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	0.03	-	-	-	-	-	-	-	-	0.06	-	-	-	0.02	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
SYM	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
NNPS	-	0.05	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.06	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.02	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-
VB|NN	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.564451891327617
Known Word WER = 3.697929561772716
Unknown Word WER = 42.561492790500424
	JJ	NNS	IN	VBG	CD	VBP	RP	RBS	NN	WDT	RB	VB	DT	PRP	VBN	NNP	NNPS	VBD	VBZ	FW	JJR	PDT	RBR	EX	JJS	POS	CC	MD	:	PRP$	''	NPS	WP	LS	SYM	UH
NNP	2.74	0.33	0.07	0.02	0.22	0.01	0.00	-	2.07	-	0.08	0.08	0.14	0.01	0.09	-	2.11	0.00	0.02	0.36	-	-	-	-	0.00	0.01	-	-	-	-	-	0.00	-	0.00	-	-
VBZ	0.08	1.26	-	0.02	0.04	0.07	-	-	0.20	-	-	0.06	-	-	0.00	0.25	-	0.20	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
NN	7.13	0.77	0.04	1.48	0.29	0.21	0.00	-	-	-	0.16	0.48	-	0.09	0.16	5.69	0.01	0.08	0.02	0.17	0.00	0.00	0.00	-	0.00	-	0.00	0.02	-	-	-	0.00	-	0.01	0.00	0.00
RP	-	-	0.76	-	-	-	-	-	-	-	0.39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.46	0.04	3.18	0.00	0.00	-	1.88	-	0.62	-	-	0.12	0.15	-	0.09	0.38	-	0.00	-	0.02	0.04	0.01	0.39	0.10	0.02	-	0.02	-	-	-	-	-	-	-	-	0.04
VBP	0.07	0.00	0.00	0.01	0.03	-	-	-	0.77	-	0.01	2.36	-	-	0.09	0.09	-	0.15	0.00	-	-	-	-	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-
VBN	3.14	0.00	-	0.08	0.09	0.00	-	-	0.37	-	0.00	0.17	-	-	-	0.29	-	3.15	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.37	-	-	-	0.09	0.05	-	-	1.93	-	-	0.09	-	-	0.13	0.43	-	0.03	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.23	-	-	0.04	-	0.03	2.12	-	-	0.27	2.44	0.00	0.48	-	-	0.07	-	-	-	0.09	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-
JJS	0.09	-	-	-	0.00	-	-	0.29	0.02	-	-	-	-	-	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.94	-	-	0.03	0.10	0.02	-	-	2.46	-	0.07	0.01	-	-	0.11	2.05	0.61	0.01	0.65	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.03	-	0.69	-	-	-	-	-	0.09	0.61	0.41	-	-	0.00	-	-	-	-	-	-	-	0.29	-	-	-	-	0.14	-	-	-	-	-	-	0.00	-	-
VB	0.19	-	0.02	0.02	0.19	1.55	0.00	-	0.87	-	0.04	-	-	-	0.21	0.29	-	0.09	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01
JJ	-	0.08	0.17	0.63	0.41	0.06	0.04	-	3.27	-	1.64	0.22	0.03	0.02	1.93	3.05	-	0.10	0.04	0.09	0.02	0.13	0.01	-	0.00	-	-	-	-	-	-	0.01	-	-	-	0.01
CD	1.59	0.22	-	0.02	-	-	-	-	0.53	-	-	0.12	-	0.09	0.03	0.73	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-
VBD	0.23	-	-	0.08	0.03	0.10	-	-	0.19	-	-	0.18	-	-	4.49	0.29	-	-	0.04	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
WDT	0.00	-	0.42	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-
RBR	0.02	-	-	-	-	-	-	-	-	-	0.26	-	-	-	-	-	-	-	-	-	0.96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	0.01	-	0.00	-	-	0.00	-	-	-	-	-	-	0.05	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.09	-	-	-	0.00	0.00	-	-	0.01	-	0.00	0.02	-	-	0.03	0.04	-	-	-	-	-	-	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.01	-	-	-	0.03	-	-	-	0.03	-	-	-	-	-	-	0.03	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	0.05	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	0.04	-	-	-	-	-	0.01	-	0.09	-	0.08	-	-	-	-	-	-	0.01	0.00	0.03	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.06	0.44	-	-	0.00	0.00	-	-	0.18	-	0.00	-	-	-	0.01	1.15	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.25	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	-	-	-	0.00	-	0.02	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.02	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	0.01	-	-	-	-	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	0.00	-	-	-	-	-	-	-
FW	0.02	-	0.00	-	-	-	-	-	0.01	-	-	-	-	-	0.00	0.14	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
