------------------------------------------
Baseline:
Word Error Rate = 9.89893939935007
Known Word WER = 8.17950840963699
Unknown Word WER = 84.97253234095339
	NN	NNS	JJ	PDT	IN	VBG	VB	RP	WDT	RBR	VBP	POS	DT	LS	VBN	VBD	RB	CC	UH	NNPS	PRP$	VBZ	CD	JJR	NNP	FW	EX	RBS	JJS	MD	PRP	WP	SYM	NPS
NN|NNS	-	0.03	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.5737163081733305
Known Word WER = 3.689362945645821
Unknown Word WER = 43.18624844940634
	JJ	NNS	IN	VBG	NN	RP	RB	VBP	DT	VBD	NNP	FW	RBR	JJR	PDT	VBN	VB	NNPS	VBZ	CD	RBS	WDT	CC	POS	PRP$	JJS	LS	PRP	WP	NPS	UH	''	EX	MD
NNP	2.84	0.26	0.08	0.06	1.79	0.00	0.08	0.01	0.15	0.01	-	0.32	-	0.00	-	0.06	0.10	2.07	0.03	0.27	0.00	-	0.02	0.00	0.00	0.01	0.08	-	-	0.01	0.00	-	-	-
VBZ	0.13	1.03	-	0.06	0.19	-	-	0.07	-	0.17	0.32	-	-	-	-	0.03	0.05	-	-	0.05	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-
NN	7.28	0.75	0.00	1.11	-	0.01	0.17	0.30	0.01	0.09	5.62	0.14	-	0.02	0.03	0.20	0.52	-	0.05	0.37	-	-	0.00	-	-	-	-	0.08	-	0.00	0.00	-	-	0.02
RP	-	-	0.75	-	-	-	0.56	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.18	-	0.03	0.04	1.07	-	0.04	1.96	-	0.08	0.26	0.00	-	0.05	-	0.18	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.44	0.02	2.94	0.03	0.53	1.39	-	0.03	0.24	0.01	0.46	-	0.48	0.03	0.00	0.17	0.12	-	0.00	0.01	0.00	-	0.07	-	-	0.01	-	-	-	0.01	0.05	-	0.06	-
DT	0.02	-	0.69	-	0.08	-	0.52	-	-	-	0.00	0.00	-	-	0.32	-	-	-	-	-	-	0.56	0.12	-	-	-	-	-	-	-	-	-	-	-
