------------------------------------------
Baseline:
Word Error Rate = 10.55071671167154
Known Word WER = 8.293629758223245
Unknown Word WER = 83.89799635701274
	NNS	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	PRP	NNP	VBN	CD	EX	DT	LS	NNPS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
RP	0.00	-	-	-	-	0.71	0.31	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	-	-	-	0.42	0.00	-	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-
VBG	1.35	0.00	0.06	-	0.11	-	0.00	2.01	0.50	0.06	0.29	-	-	-	0.14	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBD	0.22	0.00	0.18	0.00	0.20	-	-	0.25	0.40	-	3.93	0.06	-	-	0.02	-	-	0.04	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-
VBP	0.09	0.01	-	-	1.99	0.01	0.01	0.68	0.15	0.17	0.10	0.01	0.00	-	0.00	-	-	0.01	-	-	-	-	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
IN	0.19	-	0.00	-	0.01	-	2.37	0.00	0.06	0.00	-	0.03	1.97	0.18	-	-	0.52	-	-	-	-	-	-	-	0.07	0.04	-	-	-	0.00	0.00	0.00	-	-	-	-
JJ	-	0.16	0.10	0.02	0.26	0.15	1.42	3.06	3.34	0.11	1.98	0.41	0.05	-	0.68	-	0.02	-	-	0.00	0.13	-	0.02	-	0.02	0.00	0.01	0.01	-	0.00	0.00	-	-	-	-	-
JJS	0.07	-	-	-	-	-	0.00	0.03	0.00	-	0.00	-	-	-	-	0.16	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.76	0.20	0.01	-	0.36	-	0.00	0.54	0.97	-	0.07	0.05	-	-	-	-	0.00	-	-	-	0.00	-	-	-	0.00	-	0.05	-	-	0.01	-	-	-	-	-	-
JJR	0.14	-	0.00	-	0.00	-	0.02	0.01	0.05	-	0.01	-	-	-	0.01	-	-	-	-	0.75	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
CC	0.00	0.00	0.00	-	-	0.04	0.10	-	-	-	-	-	-	-	0.00	-	0.05	-	-	0.01	0.04	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	0.00	-	-	-	-	0.03	0.02	-	-	-	-	-	0.02	-	0.01	0.00	-	-	-	0.08	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	0.00	-	0.00	0.00	0.24	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.84	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
''	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	0.03	-	-	-	-	-	-
FW	0.03	-	0.00	-	0.00	0.00	-	0.03	0.11	0.00	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-
NNPS	0.13	0.39	0.00	0.00	-	-	-	0.20	1.37	0.00	0.00	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
